zip,income,pop,unemp_pct,bb_pct,agency_cnt,agency_density,affluence
76270,77552,2252,0.086,0.254,0.0,0.0,78.6
76271,85682,1864,0.025,0.524,0.0,0.0,77.7
76272,93583,4947,0.0,0.663,0.0,0.0,82.7
76273,80244,11019,0.028,0.606,0.0,0.0,86.9
76301,41828,15727,0.066,0.621,0.0,0.0,88.7
76302,56744,11949,0.026,0.71,0.0,0.0,87.3
76305,78973,4929,0.053,0.494,0.0,0.0,82.7
76306,47004,14487,0.054,0.664,0.0,0.0,88.3
76308,70789,21267,0.011,0.825,5.0,0.235,90.3
76309,51886,13344,0.033,0.687,0.0,0.0,87.9
76310,83610,19362,0.021,0.715,0.0,0.0,89.8
76311,81912,6381,0.062,0.837,0.0,0.0,84.1
76351,57607,1481,0.0,0.516,0.0,0.0,76.5
76354,68614,11822,0.046,0.679,0.0,0.0,87.3
76357,77566,452,0.02,0.569,0.0,0.0,70.3
76360,66050,2692,0.049,0.416,0.0,0.0,79.6
76363,-666666666,137,0.0,0.667,0.0,0.0,25.6
76364,102500,222,0.055,0.585,0.0,0.0,66.6
76365,64307,4668,0.008,0.522,0.0,0.0,82.4
76366,51534,2096,0.079,0.565,0.0,0.0,78.3
76367,78056,14013,0.018,0.707,0.0,0.0,88.1
76370,86125,464,0.0,0.455,0.0,0.0,70.5
76371,59918,1801,0.01,0.752,0.0,0.0,77.5
76372,81328,1024,0.045,0.695,0.0,0.0,74.6
76373,-666666666,159,0.08,0.311,0.0,0.0,26.4
76374,41869,3915,0.048,0.662,0.0,0.0,81.5
76377,62679,470,0.0,0.33,0.0,0.0,70.5
76379,82917,623,0.054,0.596,0.0,0.0,72.0
76380,42463,3484,0.037,0.598,0.0,0.0,80.9
76384,51582,12239,0.101,0.553,0.0,0.0,87.4
76388,48523,215,0.053,0.729,0.0,0.0,66.5
76389,88750,1475,0.037,0.782,0.0,0.0,76.5
76401,60864,30873,0.06,0.671,0.0,0.0,92.2
76402,-666666666,769,0.188,,0.0,0.0,34.5
76424,53659,8626,0.061,0.588,0.0,0.0,85.6
76426,84759,11065,0.039,0.577,0.0,0.0,86.9
76427,69375,1125,0.111,0.674,0.0,0.0,75.0
76429,2499,157,0.0,0.8,0.0,0.0,64.8
76430,68077,2383,0.069,0.494,0.0,0.0,78.9
76431,82971,4480,0.064,0.351,0.0,0.0,82.2
76432,61298,1376,0.02,0.405,0.0,0.0,76.1
76433,110160,2018,0.022,0.645,0.0,0.0,78.1
76435,70417,732,0.008,0.479,0.0,0.0,72.8
76436,52083,87,0.0,0.0,0.0,0.0,61.8
76437,60118,5895,0.076,0.361,0.0,0.0,83.6
76439,-666666666,0,-6666666.66,,0.0,0.0,0.0
76442,59291,7082,0.064,0.487,0.0,0.0,84.6
76443,46033,1812,0.09,0.559,0.0,0.0,77.5
76444,72325,4235,0.042,0.477,0.0,0.0,81.9
76445,-666666666,363,0.17,0.353,0.0,0.0,30.6
76446,63225,8144,0.026,0.398,0.0,0.0,85.3
76448,56957,4920,0.037,0.56,0.0,0.0,82.7
76449,70819,2157,0.064,0.549,0.0,0.0,78.4
76450,67076,12890,0.025,0.631,0.0,0.0,87.7
76452,-666666666,138,0.0,0.265,0.0,0.0,25.6
76453,96141,1474,0.055,0.435,0.0,0.0,76.4
76454,38026,1396,0.069,0.395,0.0,0.0,76.2
76455,60192,675,0.068,0.369,0.0,0.0,72.4
76457,64063,4449,0.026,0.454,0.0,0.0,82.2
76458,62969,6103,0.092,0.467,0.0,0.0,83.8
76459,34688,87,0.0,0.298,0.0,0.0,61.8
76460,90481,453,0.0,0.867,0.0,0.0,70.3
76462,95398,4920,0.062,0.56,0.0,0.0,82.7
76463,52917,489,0.028,0.189,0.0,0.0,70.7
76464,60391,463,0.06,0.502,0.0,0.0,70.4
76466,-666666666,620,0.0,0.682,0.0,0.0,33.4
76469,59000,41,0.0,0.7,0.0,0.0,58.0
76470,38523,3161,0.029,0.417,0.0,0.0,80.4
76471,42333,1530,0.039,0.423,0.0,0.0,76.6
76472,100947,1343,0.038,0.581,0.0,0.0,76.0
76474,-666666666,421,0.361,0.29,0.0,0.0,31.4
